"Date","Price","Open","High","Low","Vol.","Change %"
"06/01/2026","4,100.65","4,575.20","4,577.30","4,046.42","2.23M","-10.72%"
"05/01/2026","4,593.00","4,636.90","4,783.40","4,395.60","2.88M","-0.79%"
"04/01/2026","4,629.60","4,698.40","4,917.70","4,522.20","2.80M","-1.05%"
"03/01/2026","4,678.60","5,360.00","5,434.10","4,100.00","4.46M","-10.85%"
"02/01/2026","5,247.90","4,816.00","5,299.00","4,423.20","3.12M","10.60%"
"01/01/2026","4,745.10","4,354.30","5,626.80","4,339.60","1.13M","8.91%"
"12/01/2025","4,357.10","4,258.50","4,584.00","4,194.00","4.15M","2.40%"
"11/01/2025","4,254.90","4,014.90","4,264.40","3,954.30","363.28K","6.02%"
"10/01/2025","4,013.30","3,887.70","4,398.00","3,842.80","7.37M","3.62%"
"09/01/2025","3,873.20","3,517.90","3,899.20","3,506.00","3.97M","10.28%"
"08/01/2025","3,512.00","3,416.60","3,517.65","3,353.40","3.12M","4.88%"
"07/01/2025","3,348.60","3,315.70","3,509.00","3,290.20","3.59M","1.24%"
"06/01/2025","3,307.70","3,323.00","3,476.30","3,250.50","3.18M","-1.08%"
"05/01/2025","3,343.90","3,299.00","3,448.20","3,123.30","4.06M","0.75%"
"04/01/2025","3,319.10","3,157.30","3,509.90","2,970.40","4.42M","5.36%"
"03/01/2025","3,150.30","2,872.00","3,162.00","2,866.30","3.15M","8.78%"
"02/01/2025","2,895.90","2,846.50","2,973.40","2,802.20","2.81M","1.78%"
"01/01/2025","2,845.20","2,641.00","2,853.20","2,624.60","2.86M","8.67%"
"12/01/2024","2,618.10","2,663.70","2,743.80","2,585.90","2.36M","-1.29%"
"11/01/2024","2,652.30","2,743.50","2,759.50","2,541.50","3.35M","-3.53%"
"10/01/2024","2,749.30","2,644.40","2,801.80","2,608.80","3.42M","3.83%"
"09/01/2024","2,647.90","2,509.00","2,683.90","2,479.80","3.14M","4.38%"
"08/01/2024","2,536.70","2,458.80","2,538.70","2,373.80","3.06M","4.03%"
"07/01/2024","2,438.50","2,336.20","2,488.40","2,327.40","3.97M","4.36%"
"06/01/2024","2,336.60","2,335.00","2,385.20","2,292.90","2.78M","-0.77%"
"05/01/2024","2,354.70","2,298.20","2,454.20","2,291.70","3.65M","2.25%"
"04/01/2024","2,302.90","2,243.50","2,402.20","2,238.50","4.80M","4.61%"
"03/01/2024","2,201.40","2,091.60","2,225.30","2,088.10","3.86M","7.14%"
"02/01/2024","2,054.70","2,047.70","2,072.90","1,987.20","2.83M","-0.13%"
"01/01/2024","2,057.40","2,072.70","2,088.10","2,004.00","3.58M","-1.25%"
"12/01/2023","2,083.50","2,083.40","2,140.70","1,979.00","2.43M","1.75%"
"11/01/2023","2,047.60","1,993.30","2,062.30","1,935.60","3.29M","2.67%"
"10/01/2023","1,994.30","1,853.90","2,017.70","1,817.80","3.89M","6.68%"
"09/01/2023","1,869.50","1,947.90","1,954.10","1,865.50","2.77M","-3.98%"
"08/01/2023","1,947.00","1,974.30","1,974.40","1,886.30","2.82M","-1.65%"
"07/01/2023","1,979.60","1,927.80","1,989.80","1,908.50","3.29M","3.22%"
"06/01/2023","1,917.90","1,972.30","1,991.40","1,900.60","2.95M","-2.80%"
"05/01/2023","1,973.10","2,000.20","2,085.40","1,939.00","4.20M","-1.30%"
"04/01/2023","1,999.00","1,982.60","2,053.00","1,956.90","2.99M","0.53%"
"03/01/2023","1,988.50","1,834.00","2,014.90","1,813.40","4.22M","8.26%"
"02/01/2023","1,836.70","1,935.10","1,966.30","1,810.80","2.80M","-5.16%"
"01/01/2023","1,936.60","1,831.80","1,949.80","1,829.90","3.28M","6.06%"
"12/01/2022","1,826.00","1,778.40","1,834.10","1,771.60","2.34M","4.15%"
"11/01/2022","1,753.20","1,636.10","1,791.80","1,618.30","3.63M","6.86%"
"10/01/2022","1,640.70","1,667.90","1,731.50","1,621.20","3.13M","-1.38%"
"09/01/2022","1,663.60","1,713.10","1,736.40","1,613.00","3.28M","-3.10%"
"08/01/2022","1,716.90","1,767.70","1,809.10","1,711.70","2.72M","-2.14%"
"07/01/2022","1,754.40","1,814.40","1,815.20","1,678.40","2.98M","-2.93%"
"06/01/2022","1,807.30","1,837.10","1,879.50","1,802.50","2.75M","-2.05%"
"05/01/2022","1,845.20","1,896.20","1,910.70","1,785.00","3.05M","-2.44%"
"04/01/2022","1,891.30","1,924.50","2,000.00","1,870.90","2.36M","-3.21%"
"03/01/2022","1,954.00","1,908.40","2,078.80","1,888.30","4.97M","2.80%"
"02/01/2022","1,900.70","1,798.90","1,976.50","1,788.50","3.90M","5.81%"
"01/01/2022","1,796.40","1,830.10","1,854.20","1,780.60","4.34M","-1.76%"
"12/01/2021","1,828.60","1,777.40","1,831.40","1,753.00","2.88M","2.93%"
"11/01/2021","1,776.50","1,785.30","1,879.50","1,758.50","4.74M","-0.41%"
"10/01/2021","1,783.90","1,757.20","1,815.50","1,745.40","3.92M","1.53%"
"09/01/2021","1,757.00","1,816.70","1,836.90","1,721.10","3.65M","-3.36%"
"08/01/2021","1,818.10","1,817.00","1,835.90","1,677.90","3.66M","0.05%"
"07/01/2021","1,817.20","1,770.80","1,835.50","1,765.90","4.37M","2.57%"
"06/01/2021","1,771.60","1,906.80","1,919.20","1,750.10","4.62M","-7.02%"
"05/01/2021","1,905.30","1,768.10","1,913.30","1,765.60","5.12M","7.78%"
"04/01/2021","1,767.70","1,709.00","1,798.40","1,706.40","3.43M","3.04%"
"03/01/2021","1,715.60","1,732.80","1,757.40","1,673.30","5.13M","-0.76%"
"02/01/2021","1,728.80","1,865.00","1,876.00","1,714.90","4.33M","-6.57%"
"01/01/2021","1,850.30","1,908.20","1,962.50","1,800.80","4.89M","-2.36%"
